conid,symbol,right,strike,expiry,bid,ask,last,volume,open_interest,delta,gamma,theta,ask_strike_ratio
893420205,CROX,P,75.0,20260821,-1.0,2.35,-1.0,0,,-0.012901767792492346,0.0009721925449263641,-0.01409346983579271,3.1333
893420306,CROX,P,80.0,20260821,0.15,0.45,0.25,1,,-0.017416335505448452,0.0013508060575517645,-0.020398216373958472,0.5625
831718663,CROX,P,37.5,20260918,-1.0,2.15,-1.0,0,,-0.00016562047029173067,1.3162429148458339e-05,-0.0002778472787756329,5.7333
817270197,CROX,P,40.0,20260918,-1.0,2.15,-1.0,0,,-0.00026267279995630344,2.0652553599739816e-05,-0.0002813844636187497,5.375
813123515,CROX,P,42.5,20260918,-1.0,2.15,-1.0,0,,-0.0004135994539434864,3.2000726644650746e-05,-0.0005551420339356336,5.0588
812709509,CROX,P,45.0,20260918,-1.0,2.15,-1.0,0,,-0.0005845486253967613,4.514225762783138e-05,-0.0005589423343554832,4.7778
812709558,CROX,P,47.5,20260918,-1.0,2.2,-1.0,0,,-0.0008575682899180064,6.538459669546662e-05,-0.0010492597332697178,4.6316
812709584,CROX,P,50.0,20260918,-1.0,0.1,-1.0,0,,-0.0011630425613708226,8.85584102321075e-05,-0.0010522687736143985,0.2
812709623,CROX,P,55.0,20260918,-1.0,2.25,-1.0,0,,-0.002155540731223237,0.0001617704738248487,-0.0018873023565189398,4.0909
812709665,CROX,P,60.0,20260918,-1.0,0.15,-1.0,0,,-0.0037917796405569993,0.00027992466133059415,-0.003234040178256452,0.25
812709738,CROX,P,65.0,20260918,-1.0,2.0,-1.0,0,,-0.0063909473679899425,0.00046286654910214834,-0.005301387182016587,3.0769
830140751,CROX,P,67.5,20260918,-1.0,2.35,-1.0,0,,-0.008071291488928602,0.0005809850856379286,-0.005300299736852934,3.4815
812709786,CROX,P,70.0,20260918,-1.0,2.4,-1.0,0,,-0.010477492395636232,0.0007404308674084349,-0.008331768446835863,3.4286
817270257,CROX,P,72.5,20260918,-1.0,2.45,-1.0,0,,-0.013184792907723385,0.0009208928279687966,-0.008321092842022565,3.3793
812709844,CROX,P,75.0,20260918,0.05,0.9,-1.0,0,,-0.0166707184880598,0.0011437875926873376,-0.01256013974080794,1.2
813123566,CROX,P,77.5,20260918,0.25,2.6,-1.0,0,,-0.020582281479155178,0.0013860807144692928,-0.012558383769264825,3.3548
812709911,CROX,P,80.0,20260918,0.3,0.6,-1.0,0,,-0.025859148891233794,0.0017112447382017092,-0.018178602988581483,0.75
831718783,CROX,P,37.5,20261218,-1.0,0.45,-1.0,0,,-0.003656713230461713,0.00016177164686107648,-0.002220263640180145,1.2
829429376,CROX,P,40.0,20261218,-1.0,0.5,-1.0,0,,-0.004682019921971664,0.0002058850818546653,-0.0032928127606874358,1.25
829429441,CROX,P,42.5,20261218,-1.0,0.35,-1.0,0,,-0.005867645767329141,0.0002569898106125491,-0.0033075675279896632,0.8235
826954021,CROX,P,45.0,20261218,-1.0,0.55,-1.0,0,,-0.00699286065632879,0.00030848143346745544,-0.0033187135987982064,1.2222
826954072,CROX,P,47.5,20261218,-1.0,0.6,-1.0,0,,-0.008380946868405025,0.0003706872201229344,-0.004719992953058361,1.2632
826954096,CROX,P,50.0,20261218,-1.0,0.6,-1.0,0,,-0.00989088264309209,0.00043984195232565465,-0.004703978031090628,1.2
826954142,CROX,P,55.0,20261218,0.05,0.75,-1.0,0,,-0.013576644486553636,0.0006088773628693466,-0.006490941694936303,1.3636
826954190,CROX,P,60.0,20261218,0.2,0.7,-1.0,0,,-0.018457835770214048,0.0008310341539503985,-0.008734994583510514,1.1667
826954231,CROX,P,65.0,20261218,0.35,1.1,-1.0,0,,-0.025434439922200056,0.0011319963325765172,-0.008700226431803793,1.6923
830140858,CROX,P,67.5,20261218,0.45,1.4,-1.0,0,,-0.029842301584323053,0.0013148716812207428,-0.01146010619532234,2.0741
826954281,CROX,P,70.0,20261218,0.6,1.35,-1.0,0,,-0.03493152265503121,0.0015210426215656325,-0.011455086926807856,1.9286
829429481,CROX,P,72.5,20261218,0.7,1.5,-1.0,0,,-0.04054475917209786,0.0017459487803807322,-0.014747233259652104,2.069
826954321,CROX,P,75.0,20261218,0.85,1.7,-1.0,0,,-0.04745644001657024,0.0020045793130756373,-0.014753926252262461,2.2667
826954364,CROX,P,77.5,20261218,1.05,1.9,-1.0,0,,-0.054684280756623044,0.0022774445017663533,-0.01488310216887756,2.4516
826954411,CROX,P,80.0,20261218,1.1,2.0,-1.0,0,,-0.06357207513844866,0.002583776075384305,-0.018576040053951193,2.5
